Position,Title,Title Type,Runtime,Year,Genres,Directors
279,Modern Times,movie,87,1936,"Comedy, Drama, Romance",Charles Chaplin
280,Mom and Dad,movie,97,1945,Drama,William Beaudine
281,Morocco,movie,92,1930,"Drama, Romance",Josef von Sternberg
282,Mr. Smith Goes to Washington,movie,129,1939,"Comedy, Drama",Frank Capra
283,Mrs. Miniver,movie,134,1942,"Drama, Romance, War",William Wyler
284,The Muppet Movie,movie,95,1979,"Adventure, Comedy, Family, Musical",James Frawley
285,The Music Man,movie,151,1962,"Comedy, Family, Musical, Romance",Morton DaCosta
286,My Darling Clementine,movie,97,1946,"Drama, Romance, Western",John Ford
287,My Man Godfrey,movie,94,1936,"Comedy, Drama, Romance",Gregory La Cava
288,The Naked City,movie,96,1948,"Crime, Drama, Film-Noir, Mystery, Thriller",Jules Dassin
289,The Naked Spur,movie,91,1953,"Drama, Thriller, Western",Anthony Mann
290,Nashville,movie,160,1975,"Comedy, Drama, Music",Robert Altman
291,National Lampoon's Animal House,movie,109,1978,Comedy,John Landis
292,National Velvet,movie,123,1944,"Drama, Family, Sport",Clarence Brown
293,Naughty Marietta,movie,105,1935,"Drama, Musical, Romance","W.S. Van Dyke, Robert Z. Leonard"
294,Network,movie,121,1976,Drama,Sidney Lumet
295,A Night at the Opera,movie,96,1935,"Comedy, Music, Musical","Sam Wood, Edmund Goulding"
296,The Night of the Hunter,movie,92,1955,"Crime, Drama, Film-Noir, Thriller",Charles Laughton
297,Night of the Living Dead,movie,96,1968,"Horror, Thriller",George A. Romero
298,Ninotchka,movie,110,1939,"Comedy, Romance",Ernst Lubitsch
299,Norma Rae,movie,114,1979,Drama,Martin Ritt
300,North by Northwest,movie,136,1959,"Action, Adventure, Mystery, Thriller",Alfred Hitchcock
301,Nothing But a Man,movie,95,1964,"Drama, Romance",Michael Roemer
302,Notorious,movie,102,1946,"Drama, Film-Noir, Romance, Thriller",Alfred Hitchcock
303,"Now, Voyager",movie,117,1942,"Drama, Romance",Irving Rapper
304,Oklahoma!,movie,145,1955,"Comedy, Drama, Musical, Romance, Western",Fred Zinnemann
305,The Nutty Professor,movie,107,1963,"Comedy, Romance, Sci-Fi",Jerry Lewis
306,On the Waterfront,movie,108,1954,"Crime, Drama, Thriller",Elia Kazan
307,C'era una volta il West,movie,165,1968,Western,Sergio Leone
308,One Flew Over the Cuckoo's Nest,movie,133,1975,Drama,Milos Forman
309,Our Daily Bread,movie,80,1934,"Drama, Romance",King Vidor
310,Out of the Past,movie,97,1947,"Crime, Drama, Film-Noir, Romance, Thriller",Jacques Tourneur
311,The Outlaw Josey Wales,movie,135,1976,Western,Clint Eastwood
312,The Ox-Bow Incident,movie,75,1942,"Drama, Western",William A. Wellman
313,Paths of Glory,movie,88,1957,"Drama, War",Stanley Kubrick
